Exercise Name,Equipment,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,No_of_Sets,No_of_Reps,BMI,gender,type of plan
Pushdown,Cable,Basic or Auxiliary,Isolated,Push,Face high pulley and grasp cable attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,"Triceps Brachii,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Pectoralis Major, Sternal, Pectoralis Minor, Trapezius, Lower, Rectus Abdominis, Obliques, Wrist Flexors, ",Upper Arms,2,Anterior Deltoid,2,13,20.5,female,weight loss
Pushdown:  One Arm,Cable,Auxiliary,Isolated,Push,Grasp dumbbell cable attachment with underhand grip. Position elbow to side.,Extend arm down. Return until forearm is close to upper arm. Repeat. Continue with opposite arm.,"Triceps Brachii,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Pectoralis Major, Sternal, Pectoralis Minor, Trapezius, Lower, Obliques, Rectus Abdominis, Wrist Extensors, ",Upper Arms,2,Anterior Deltoid,2,13,20.2,female,weight loss
Pushdown:  with back support,Cable,Basic or Auxiliary,Isolated,Push,Place back against vertical back support. Grasp cable attachment from high pulley with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,"Triceps Brachii,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Pectoralis Major, Sternal, Pectoralis Minor, Trapezius, Lower, Rectus Abdominis, Obliques, Wrist Flexors, ",Upper Arms,2,Anterior Deltoid,4,15,22.0,female,weight loss
Pushdown:  with V-bar attachment,Cable,Auxiliary,Isolated,Push,Face high pulley and grasp V-bar attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,"Triceps Brachii,","Latissimus Dorsi, Teres Major, Deltoid, Posterior, Pectoralis Major, Sternal, Pectoralis Minor, Trapezius, Lower, Rectus Abdominis, Obliques, Wrist Flexors, ",Upper Arms,2,Anterior Deltoid,3,15,20.8,female,weight loss
Triceps Dip,Cable,Basic,Compound,Push,"Step betweenshoulder width dip barswith dip belt around waist. Kneel as close to low pulley and attach cable to dip belt. Stand up and mount dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body by bending arms until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",2,20,22.8,female,weight loss
Triceps Extension,Cable,Basic or Auxiliary,Isolated,Push,Stand or sit on bench or seat with back support just below shoulders. Position cable bar behind neck or shoulders with narrow overhand grip. Position elbows overhead.,Raise cable bar overhead by extending elbows until arms are positioned straight and vertical. Lower cable bar behind neck by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Clavicular, Wrist Flexors, ",Upper Arms,2,Posterior Deltoid,3,20,21.5,female,weight loss
Triceps Extension:  with rope,Cable,Basic or Auxiliary,Isolated,Push,"From low pulley cable, grasp ends of rope attachment just under enlarged ends. Raise one arm over head while turning body away from pulley. Face away from pulley with feet staggered. Position ends of ropes behind head or neck and elbows upward over head.",Raise ends of rope overhead by extending forearms until arms are straight. Lower rope attachment until forearms are against upper arms. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis
Major, Clavicular, Wrist Flexors, ",Upper Arms,2,Posterior Deltoid,2,13,20.2,female,weight loss
Kickback,Dumbbell,Auxiliary,Isolated,Push,Kneel over bench with arm supporting body. Grasp dumbbell. Position upper arm parallel to floor.,Extend arm until it is straight. Return and repeat. Continue with opposite arm.,"Triceps Brachii,","Deltoid, Posterior, Latissimus Dorsi, Trapezius, Middle, Trapezius, Lower, Rhomboids, Extensor Carpi Ulnaris, Flexor Carpi Ulnaris, ",Upper Arms,2,Posterior Deltoid,3,14,22.4,female,weight loss
Lying Triceps Extension,Dumbbell,Basic or Auxiliary,Isolated,Push,Lie on bench and position dumbbells over head with arms extended.,Lower dumbbells by bending elbow until they are to sides of head. Extend arm. Repeat.,"Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Clavicular, Pectoralis Major, Sternal, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Coracobrachialis, Extensor Carpi Ulnaris, Flexor Carpi Ulnaris, ",Upper Arms,3,Anterior Deltoid,4,12,22.7,female,weight loss
One Arm Triceps Extension (on bench),Dumbbell,Basic or Auxiliary,Isolated,Push,Position dumbbell behind neck with elbow positioned upward.,Extend arm until straight while maintaining upper arm's vertical position throughout exercise. Return until dumbbell is behind neck or shoulder and repeat. Continue with opposite arm.,"Triceps Brachii,","Wrist Extensors, Flexor Carpi Ulnaris, ",Upper Arms,2,Posterior Deltoid,3,19,20.9,female,weight loss
Triceps Extension,Dumbbell,Basic or Auxiliary,Isolated,Push,Position one dumbbell over head with both hands under inner plate (heart shaped grip).,"With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.","Triceps Brachii,","Deltoid, Anterior, Pectoralis Major, Clavicular, Wrist Flexors, ",Upper Arms,2,Posterior Deltoid,4,13,21.5,female,weight loss
Close Grip Bench Press,Lever (plate loaded),Basic,Compound,Push,Lie on bench with lever handles above sides of chest. Grasp handles with narrow overhand grip just above each side of chest.,"With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.","Triceps Brachii,",,Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",2,18,20.3,female,weight loss
Triceps Extension,Lever (plate loaded),Basic or Auxiliary,Isolated,Push,"Sit on seat. Place forearms on lever pad and back of upper arms, parallel on padding with elbows in line with lever's fulcrum.",Push lever down until arms are fully extended. Return and repeat.,"Triceps Brachii,","Pectoralis Major, Sternal, Deltoid, Posterior, Latissimus Dorsi, Teres Major, Pectoralis Minor, Trapezius, Lower, ",Upper Arms,2,Posterior Deltoid,2,16,21.2,female,weight loss
Triceps Dip,Lever (plate loaded),Basic,Compound,Push,"Sit upright on seat. If possible, place handles in narrow position. Grasp handles.",Push levers down with elbows pointing back. Allow lever bar to raise until shoulders are slightly stretched. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,13,22.1,female,weight loss
Triceps Dip,Lever (selectorized),Basic,Compound,Push,"If possible, place handles in narrow position. Sit on seat with back against pad. Grasp handles and position elbows back.",Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",2,20,22.0,female,weight loss
Triceps Dip:  alternative machine,Lever (selectorized),Basic,Compound,Push,"If possible, place handles in narrow position. Sit on seat with legs under pads. Grasp handles and position elbows back.",Push levers down by straightening arms downward. Allow lever bar to raise with elbows pointing back until shoulders are slightly stretched. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",2,12,22.4,female,weight loss
Triceps Extension,Lever (selectorized),Basic or Auxiliary,Isolated,Push,Sit on seat. Grasp handles and place back of upper arms parallel on padding with elbows approximately in line with lever's fulcrum.,Push lever down until arms are fully extended. Return until forearms contact upper arms. Repeat.,"Triceps Brachii,","Pectoralis Major, Sternal, Deltoid, Posterior, Latissimus Dorsi, Teres Major, Pectoralis Minor, Trapezius, Lower, Extensor Carpi Ulnaris, Flexor Carpi Ulnaris, ",Upper Arms,2,Posterior Deltoid,2,17,22.2,female,weight loss
Triceps Extension:  with preacher pad New!,Lever (selectorized),Basic or Auxiliary,Isolated,Push,Sit on seat. Grasp handles and place back of upper arms parallel on padding with elbows approximately in line with lever's fulcrum.,Push lever down until arms are fully extended. Return until forearms contact upper arms. Repeat.,"Triceps Brachii,","Pectoralis Major, Sternal, Deltoid, Posterior, Latissimus Dorsi, Teres Major, Pectoralis Minor, Trapezius, Lower, Extensor Carpi Ulnaris, Flexor Carpi Ulnaris, ",Upper Arms,3,Anterior Deltoid,4,20,21.3,female,weight loss
Standing Triceps Dip,Sled,Basic or Auxiliary,Isolated,Push,Sit on seat. Grasp handles and place back of upper arms parallel on padding with elbows approximately in line with lever's fulcrum.,Push lever down until arms are fully extended. Return until forearms contact upper arms. Repeat.,"Triceps Brachii,","Pectoralis Major, Sternal, Deltoid, Posterior, Latissimus Dorsi, Teres Major, Pectoralis Minor, Trapezius, Lower, Extensor Carpi Ulnaris, Flexor Carpi Ulnaris, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,13,22.4,female,weight loss
Close Grip Bench Press,Smith,Basic,Compound,Push,Lie on bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.,Lower weight to chest with elbows close to body. Push bar back up until arms are straight. Repeat.,"Triceps Brachii,",,Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",4,18,20.9,female,weight loss
Bench Dip,Weighted,Basic,Compound,Push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench. Straighten arms, slide rear end off of edge of bench and position heels on adjacent bench with legs straight. Have assistant place weight on lap near hips.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.","Triceps Brachii,","Trapezius, Lower, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",2,18,22.7,female,weight loss
Triceps Dip,Weighted,Basic,Compound,Push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",4,16,21.3,female,weight loss
Triceps Dip,Band-assisted,Basic,Compound,Push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",2,13,22.7,female,weight loss
Bench Dip,Body Weight,Basic,Compound,Push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench, straighten arms, slide rear end off of bench, and position heels on adjacent bench with legs straight.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.","Triceps Brachii,","Trapezius, Lower, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,12,22.6,female,weight loss
Bench Dip:  heel on floor,Body Weight,Basic,Compound,Push,"Sit on side of bench. Place hands on edge of bench. Position feet away from bench. Straighten arms, slide rear end off of edge of bench, and rest heels on floor with legs straight.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise your body and repeat.","Triceps Brachii,","Trapezius, Lower, ",Upper Arms,2,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",4,18,22.2,female,weight loss
Close Grip Push-up,Body Weight,Basic,Compound,Push,Lie prone with forefeet on floor and hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Triceps Brachii,","Serratus Anterior, Pectoralis Minor, Rectus Abdominis, Obliques, Quadriceps, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",2,16,21.7,female,weight loss
Close Grip Push-up:  on knees,Body Weight,Basic,Compound,Push,Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Triceps Brachii,","Rectus Abdominis, Obliques, ",Upper Arms,2,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,20,21.7,female,weight loss
Close Grip Push-up:  Incline on bar,Body Weight,Basic,Compound,Push,Grasp horizontal bar (lower than chest height) with hands shoulder width or slightly narrower. Position forefeet back from bar with arms and body straight. Arms should be perpendicular to body.,"Keeping body straight, lower chest to bar by bending arms. Push body up until arms are extended. Repeat.","Triceps Brachii,","Rectus Abdominis, Obliques, Quadriceps, Gastrocnemius, Soleus, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,12,20.3,female,weight loss
Triceps Dip,Body Weight,Basic,Compound,Push,"Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,16,21.0,female,weight loss
Triceps Extension,Suspended,Basic or Auxiliary,Isolated,Push,"Grasp handles and step forward between suspension trainers. Position arms downward and slightly forward, nearly parallel with suspension straps. Lean forward, placing upper body weight onto handles with arms straight, while stepping back onto forefeet so body is leaning forward at desired angle. Straighten body, so torso is in-line with legs.","Lower body by bending elbows, allowing head to travel between suspension handles. Raise body up and back up until arms are extended. Repeat.","Triceps Brachii,",,Upper Arms,2,Posterior Deltoid,2,19,22.4,female,weight loss
Triceps Dip,Self-assisted,Basic,Compound,Push,"Stand on bench or elevation between parallel bars. Mountshoulder width dip bar, arms straight with shoulders above hands. Bend knees and place toes on bench or elevation behind and below body.","Lower body by bending arms back. If necessary, use minimal assistance of lower body to control descent, allowing knees to bend, keeping toes in contact with bench or elevation. When slight stretch is felt in chest or shoulders push body up until arms are straight. Repeat with minimal assistance from legs.","Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,17,21.6,female,weight loss
Curl,Barbell,Basic,Isolated,Pull,Grasp bar with shoulder width underhand grip.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",3,12,22.5,female,weight loss
Alternating Curl,Cable,Basic or Auxiliary,Isolated,Pull,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward.","Pull one stirrup up forward and upward toward shoulder while keeping elbow stationary. Return until arm is fully extended. Repeat on other arm, alternating between sides.","Biceps Brachii,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, Coracobrachialis, ",Upper Arms,2,"Brachialis, Brachioradialis",3,12,22.2,female,weight loss
Curl,Cable,Basic,Isolated,Pull,Grasp low pulley cable bar with shoulder width underhand grip. Stand close to pulley.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",3,12,22.7,female,weight loss
Curl:  with stirrups,Cable,Basic or Auxiliary,Isolated,Pull,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward.",Pull stirrups forward and upward toward shoulders while keeping elbows stationary. Return until arms are fully extended. Repeat.,"Biceps Brachii,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, Coracobrachialis, ",Upper Arms,2,"Brachialis, Brachioradialis",2,14,20.4,female,weight loss
Curl:  One Arm Curl,Cable,Auxiliary,Isolated,Pull,Face low pulley and grasp stirrup cable attachment to one side with underhand grip.,"With elbow to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat. Continue with opposite arm.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",2,16,22.7,female,weight loss
Curl,Dumbbell,Basic,Isolated,Pull,"Position two dumbbells to sides, palms facing in, arms straight.","With elbows to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",2,13,22.8,female,weight loss
Incline Curl,Dumbbell,Basic or Auxiliary,Isolated,Pull,"Sit back on 45-60 degree incline bench. With arms hanging down straight, position two dumbbells with palms facing inward.","With elbows back to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,13,20.8,female,weight loss
Curl,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Sit on seat and grasp handles with underhand grip.,Raise lever handles until elbows are fully flexed with back of upper arm remaining on pad. Lower handles until arm is fully extended. Repeat.,"Biceps Brachii,","Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",2,12,21.2,female,weight loss
Inverted Biceps Row,Body Weight,Basic or Auxiliary,Compound,Pull,Lay on back under fixed horizontal bar. Grasp bar with shoulder width underhand grip.,"Keeping body straight, pull body up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.","Biceps Brachii,","Erector Spinae, Hamstrings, Gluteus Maximus, ",Upper Arms,3,"Latissimus Dorsi, Brachialis",3,12,21.2,female,weight loss
Preacher Curl,Barbell,Auxiliary,Isolated,Pull,Sit on preacher bench placing back of arms on pad. Grasp curl bar with shoulder width underhand grip.,Raise bar until forearms are vertical. Lower barbell until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",2,17,22.6,female,weight loss
Prone Incline Curl,Barbell,Auxiliary,Isolated,Pull,"Lie prone on incline bench with shoulders near top of incline. Knees can rest on seat or legs can be straddled to sides. From low rack or partner, grasp curl bar with shoulder width underhand grip.",Raise bar until arms are flexed. Lower barbell until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, Trapezius, Middle, Rhomboids, ",Upper Arms,3,"Brachialis, Brachioradialis",4,19,21.1,female,weight loss
Concentration Curl,Cable,Auxiliary,Isolated,Pull,"Facing low pulley cable, sit on seat or bench with legs apart to each side. Grasp stirrup attachment. Place upper arm against inner thigh.",Pull stirrup to front of shoulder until elbow is completely flexed. Lower stirrup until arm is fully extended. Repeat. Continue with opposite arm.,"Brachialis,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Obliques, Erector Spinae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",4,20,22.8,female,weight loss
Preacher Curl,Cable,Auxiliary,Isolated,Pull,Sit on preacher bench placing back of arms on pad. Grasp cable bar with shoulder width underhand grip.,Raise cable bar toward shoulders. Lower cable bar until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,19,20.2,female,weight loss
Preacher Curl: Stirrups,Cable,Auxiliary,Isolated,Pull,Grasp cable stirrups with each hand. Sit on preacher bench placing back of arms on pad with palms up.,Raise both stirrups upward toward shoulders. Lower stirrups until arm is fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,13,22.3,female,weight loss
Concentration Curl,Dumbbell,Auxiliary,Isolated,Pull,Sit on bench. Grasp dumbbell between feet. Place back of upper arm to inner thigh. Lean into leg to raise elbow slightly.,Raise dumbbell to front of shoulder. Lower dumbbell until arm is fully extended. Repeat. Continue with opposite arm.,"Brachialis,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Obliques, Erector Spinae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",2,20,22.3,female,weight loss
Preacher Curl,Dumbbell,Auxiliary,Isolated,Pull,"Grasp dumbbell and sit on preacher bench. With arm bent and palm facing shoulder, place back of arm down on pad.",Lower dumbbell until arm is fully extended. Raise dumbbell until forearm is vertical. Repeat. Continue with opposite arm.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",2,12,22.4,female,weight loss
Preacher Curl,Lever (plate loaded),Auxiliary,Isolated,Pull,Sit on curl machine placing back of arms on pad. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever.,Raise lever handles toward shoulders. Lower handles until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,20,20.4,female,weight loss
Preacher Curl: arms high,Lever (plate loaded),Auxiliary,Isolated,Pull,Sit on curl machine. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever while placing back of arms up on pads.,Pull lever handles toward shoulders. Return handles until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,14,21.5,female,weight loss
Preacher Curl,Lever (selectorized),Auxiliary,Isolated,Pull,Sit on curl machine placing back of arms on pad. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever.,Raise lever handles toward shoulders. Lower handles until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",2,20,22.9,female,weight loss
Preacher Curl: arms high,Lever (selectorized),Auxiliary,Isolated,Pull,Sit on curl machine. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever while placing back of arms up on pads.,Pull lever handles toward shoulders. Return handles until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",3,20,21.1,female,weight loss
Arm Curl,Suspended,Auxiliary,Isolated,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body is reclined back. Position palms up or slightly inward.","Keeping body straight, bring handles toward top of shoulders by flexing arms, while keeping elbows pointed forward. Return by straightening arms and repeat.","Brachialis,","Erector Spinae, Gluteus Maximus, Hamstrings, Wrist Flexors, Trapezius, Middle, Rhomboids, ",Upper Arms,2,"Brachialis, Brachioradialis",3,12,21.4,female,weight loss
Reverse Curl,Barbell,Auxiliary,Isolated,Pull,Grasp bar with shoulder width overhand grip.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Extensors, ",Forearm,2,"Brachioradialis, Brachialis",3,14,21.1,female,weight loss
Hammer Curl,Cable,Auxiliary,Isolated,Pull,Grasp cable rope with palms facing inward. Stand upright with arms straight down to sides.,"With elbows to side, raise rope forward and upward with both arms until forearms are vertical. Lower until arms are fully extended. Repeat.","Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Flexor Carpi Radialis, Extensor Carpi Radialis, ",Forearm,2,"Brachioradialis, Brachialis",2,19,22.9,female,weight loss
Reverse Curl,Cable,Auxiliary,Isolated,Pull,Grasp cable bar with shoulder width overhand grip.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Extensors, ",Forearm,2,"Brachioradialis, Brachialis",3,19,22.5,female,weight loss
Hammer Curl,Dumbbell,Auxiliary,Isolated,Pull,"Position two dumbbells to sides, palms facing in, arms straight.","With elbows to sides, raise one dumbbell until forearm is vertical and thumb faces shoulder. Lower to original position and repeat with alternative arm.","Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Flexor Carpi Radialis, Extensor Carpi Radialis, ",Forearm,2,"Brachioradialis, Brachialis",4,16,21.8,female,weight loss
Reverse Curl​​​​​​​,Lever (selectorized),Auxiliary,Isolated,Pull,Sit on seat and grasp handles with overhand grip. Position elbows to sides so they are in line with lever's fulcrum.,Raise lever handles until elbows are fully flexed with back of upper arm remaining on pad. Lower handles until arm is fully extended. Repeat.,"Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Wrist Flexors, ",Forearm,2,"Brachioradialis, Brachialis",4,16,22.4,female,weight loss
Wrist Curl,Barbell,Basic or Auxiliary,Isolated,Pull,Sit and grasp bar with narrow to shoulder width underhand grip. Rest forearms on thighs with wrists just beyond knees.,Allow barbell to roll out of palms down to fingers. Raise barbell back up by gripping and pointing knuckles up as high as possible. Lower and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,3,17,22.7,female,weight loss
Wrist Curl,Cable,Basic or Auxiliary,Isolated,Pull,Sit and grasp cable bar with narrow to shoulder width underhand grip. Rest forearms on thighs with wrists just beyond knees.,Allow cable bar to roll out of palms down to fingers. Raise cable bar back up by gripping and pointing knuckles up as high as possible. Lower and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,4,16,21.5,female,weight loss
Wrist Curl,Dumbbell,Basic or Auxiliary,Isolated,Pull,Sit and grasp dumbbell with underhand grip. Rest forearm on thigh with wrist just beyond knee.,Allow dumbbell to roll out of palm down to fingers. Raise dumbbell back up by gripping and pointing knuckles up as high as possible. Lower and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,2,13,20.5,female,weight loss
Grip,Lever (plate loaded),Basic or Auxiliary,Isolated,Pull,"Sit on seat, straddling apparatus. Grasp lever handles on each side; fingers around lever handles and base of thumbs around stationary bars.",Squeeze bars together with both hands until lower lever makes contact with upper bars. Lower to original position and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,3,19,21.4,female,weight loss
Wrist Curl,Lever (plate loaded),Basic or Auxiliary,Isolated,Pull,Grasp bar with underhand grip. Place forearm on padded platform.,Raise bar up until wrist is fully flexed. Lower and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,4,13,21.9,female,weight loss
Grip,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Sit on seat. Grasp lever handles on each side; fingers around lever handles and base of thumbs around stationary bars.,Squeeze bars together with both hands until lever makes contact with stationary bars. Lower to original position and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,4,19,21.0,female,weight loss
Wrist Curl,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Grasp bar with underhand grip to each side. Place forearms on arm pads.,Raise handles up until wrist is fully flexed. Lower handles until wrists are full hyperextended. Repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,2,18,20.5,female,weight loss
One Hand Grip,Sled (selectorized),Basic or Auxiliary,Isolated,Pull,Grasp bar with underhand grip to each side. Place forearms on arm pads.,Raise handles up until wrist is fully flexed. Lower handles until wrists are full hyperextended. Repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,2,Brachioradialis,2,13,21.0,female,weight loss
One Hand​​​​​​​,Sled (plate loaded),Basic or Auxiliary,Isolated,Pull,Bend over and grasp bar grips with one hand; fingers under lower bar and base of thumb over top stationary bar.,Squeeze bar grips together until lower bar makes contact with upper bar. Release to original position and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,2,Brachioradialis,4,16,22.8,female,weight loss
