Exercise Name,Equipment,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,No_of_Sets,No_of_Reps,BMI
Close Grip Bench Press,Smith,Basic,Compound,Push,Lie on bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back.,Lower weight to chest with elbows close to body. Push bar back up until arms are straight. Repeat.,"Triceps Brachii,",,Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,12,22.59279779
Bench Dip,Weighted,Basic,Compound,Push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench. Straighten arms, slide rear end off of edge of bench and position heels on adjacent bench with legs straight. Have assistant place weight on lap near hips.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.","Triceps Brachii,","Trapezius, Lower, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,12,22.13882464
Triceps Dip,Weighted,Basic,Compound,Push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,8,23.63002019
Triceps Dip,Band-assisted,Basic,Compound,Push,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",5,12,22.29302724
Bench Dip,Body Weight,Basic,Compound,Push,"Sit on inside of one of two benches placed parallel, slightly less than leg's length away. Place hands on edge of bench, straighten arms, slide rear end off of bench, and position heels on adjacent bench with legs straight.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise body and repeat.","Triceps Brachii,","Trapezius, Lower, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",5,12,22.02099126
Bench Dip:  heel on floor,Body Weight,Basic,Compound,Push,"Sit on side of bench. Place hands on edge of bench. Position feet away from bench. Straighten arms, slide rear end off of edge of bench, and rest heels on floor with legs straight.","Lower body by bending arms until slight stretch is felt in chest or shoulder, or rear end touches floor. Raise your body and repeat.","Triceps Brachii,","Trapezius, Lower, ",Upper Arms,2,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",5,11,23.96491488
Close Grip Push-up,Body Weight,Basic,Compound,Push,Lie prone with forefeet on floor and hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Triceps Brachii,","Serratus Anterior, Pectoralis Minor, Rectus Abdominis, Obliques, Quadriceps, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",5,12,23.71873081
Close Grip Push-up:  on knees,Body Weight,Basic,Compound,Push,Lie prone on floor with hands under shoulders or slightly narrower. Position body up off floor with extended arms and body straight.,"Keeping body straight, lower body to floor by bending arms. Push body up until arms are extended. Repeat.","Triceps Brachii,","Rectus Abdominis, Obliques, ",Upper Arms,2,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",4,10,23.82826898
Close Grip Push-up:  Incline on bar,Body Weight,Basic,Compound,Push,Grasp horizontal bar (lower than chest height) with hands shoulder width or slightly narrower. Position forefeet back from bar with arms and body straight. Arms should be perpendicular to body.,"Keeping body straight, lower chest to bar by bending arms. Push body up until arms are extended. Repeat.","Triceps Brachii,","Rectus Abdominis, Obliques, Quadriceps, Gastrocnemius, Soleus, ",Upper Arms,3,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",3,10,23.81794584
Triceps Dip,Body Weight,Basic,Compound,Push,"Mountshoulder width dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,"Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",5,11,22.21606142
Triceps Extension,Suspended,Basic or Auxiliary,Isolated,Push,"Grasp handles and step forward between suspension trainers. Position arms downward and slightly forward, nearly parallel with suspension straps. Lean forward, placing upper body weight onto handles with arms straight, while stepping back onto forefeet so body is leaning forward at desired angle. Straighten body, so torso is in-line with legs.","Lower body by bending elbows, allowing head to travel between suspension handles. Raise body up and back up until arms are extended. Repeat.","Triceps Brachii,",,Upper Arms,2,Posterior Deltoid,5,6,22.79020037
Triceps Dip,Self-assisted,Basic,Compound,Push,"Stand on bench or elevation between parallel bars. Mountshoulder width dip bar, arms straight with shoulders above hands. Bend knees and place toes on bench or elevation behind and below body.","Lower body by bending arms back. If necessary, use minimal assistance of lower body to control descent, allowing knees to bend, keeping toes in contact with bench or elevation. When slight stretch is felt in chest or shoulders push body up until arms are straight. Repeat with minimal assistance from legs.","Triceps Brachii,","Trapezius, Lower, ",Upper Arms,4,"Pectoralis Major Sternal, Pectoralis Major Clavicular, Anterior Deltoid",5,7,23.63518267
Curl,Barbell,Basic,Isolated,Pull,Grasp bar with shoulder width underhand grip.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",4,9,23.84965425
Alternating Curl,Cable,Basic or Auxiliary,Isolated,Pull,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward.","Pull one stirrup up forward and upward toward shoulder while keeping elbow stationary. Return until arm is fully extended. Repeat on other arm, alternating between sides.","Biceps Brachii,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, Coracobrachialis, ",Upper Arms,2,"Brachialis, Brachioradialis",5,8,22.89859156
Curl,Cable,Basic,Isolated,Pull,Grasp low pulley cable bar with shoulder width underhand grip. Stand close to pulley.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",3,6,23.1458853
Curl:  with stirrups,Cable,Basic or Auxiliary,Isolated,Pull,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward.",Pull stirrups forward and upward toward shoulders while keeping elbows stationary. Return until arms are fully extended. Repeat.,"Biceps Brachii,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, Coracobrachialis, ",Upper Arms,2,"Brachialis, Brachioradialis",4,11,22.26336981
Curl:  One Arm Curl,Cable,Auxiliary,Isolated,Pull,Face low pulley and grasp stirrup cable attachment to one side with underhand grip.,"With elbow to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat. Continue with opposite arm.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",3,6,22.1582097
Curl,Dumbbell,Basic,Isolated,Pull,"Position two dumbbells to sides, palms facing in, arms straight.","With elbows to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",5,6,23.53005036
Incline Curl,Dumbbell,Basic or Auxiliary,Isolated,Pull,"Sit back on 45-60 degree incline bench. With arms hanging down straight, position two dumbbells with palms facing inward.","With elbows back to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.","Biceps Brachii,","Deltoid, Anterior, Coracobrachialis, Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",5,11,23.66923147
Curl,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Sit on seat and grasp handles with underhand grip.,Raise lever handles until elbows are fully flexed with back of upper arm remaining on pad. Lower handles until arm is fully extended. Repeat.,"Biceps Brachii,","Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",4,11,23.28092241
Inverted Biceps Row,Body Weight,Basic or Auxiliary,Compound,Pull,Lay on back under fixed horizontal bar. Grasp bar with shoulder width underhand grip.,"Keeping body straight, pull body up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.","Biceps Brachii,","Erector Spinae, Hamstrings, Gluteus Maximus, ",Upper Arms,3,"Latissimus Dorsi, Brachialis",4,6,23.6919798
Preacher Curl,Barbell,Auxiliary,Isolated,Pull,Sit on preacher bench placing back of arms on pad. Grasp curl bar with shoulder width underhand grip.,Raise bar until forearms are vertical. Lower barbell until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",3,8,23.0515386
Prone Incline Curl,Barbell,Auxiliary,Isolated,Pull,"Lie prone on incline bench with shoulders near top of incline. Knees can rest on seat or legs can be straddled to sides. From low rack or partner, grasp curl bar with shoulder width underhand grip.",Raise bar until arms are flexed. Lower barbell until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, Trapezius, Middle, Rhomboids, ",Upper Arms,3,"Brachialis, Brachioradialis",3,10,22.31239489
Concentration Curl,Cable,Auxiliary,Isolated,Pull,"Facing low pulley cable, sit on seat or bench with legs apart to each side. Grasp stirrup attachment. Place upper arm against inner thigh.",Pull stirrup to front of shoulder until elbow is completely flexed. Lower stirrup until arm is fully extended. Repeat. Continue with opposite arm.,"Brachialis,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Obliques, Erector Spinae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",5,7,23.58624033
Preacher Curl,Cable,Auxiliary,Isolated,Pull,Sit on preacher bench placing back of arms on pad. Grasp cable bar with shoulder width underhand grip.,Raise cable bar toward shoulders. Lower cable bar until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,6,23.84512997
Preacher Curl: Stirrups,Cable,Auxiliary,Isolated,Pull,Grasp cable stirrups with each hand. Sit on preacher bench placing back of arms on pad with palms up.,Raise both stirrups upward toward shoulders. Lower stirrups until arm is fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",5,10,23.28890331
Concentration Curl,Dumbbell,Auxiliary,Isolated,Pull,Sit on bench. Grasp dumbbell between feet. Place back of upper arm to inner thigh. Lean into leg to raise elbow slightly.,Raise dumbbell to front of shoulder. Lower dumbbell until arm is fully extended. Repeat. Continue with opposite arm.,"Brachialis,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Obliques, Erector Spinae, Wrist Flexors, ",Upper Arms,2,"Brachialis, Brachioradialis",3,7,22.19967253
Preacher Curl,Dumbbell,Auxiliary,Isolated,Pull,"Grasp dumbbell and sit on preacher bench. With arm bent and palm facing shoulder, place back of arm down on pad.",Lower dumbbell until arm is fully extended. Raise dumbbell until forearm is vertical. Repeat. Continue with opposite arm.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,10,22.64861899
Preacher Curl,Lever (plate loaded),Auxiliary,Isolated,Pull,Sit on curl machine placing back of arms on pad. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever.,Raise lever handles toward shoulders. Lower handles until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,9,22.01090577
Preacher Curl: arms high,Lever (plate loaded),Auxiliary,Isolated,Pull,Sit on curl machine. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever while placing back of arms up on pads.,Pull lever handles toward shoulders. Return handles until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,12,22.81992835
Preacher Curl,Lever (selectorized),Auxiliary,Isolated,Pull,Sit on curl machine placing back of arms on pad. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever.,Raise lever handles toward shoulders. Lower handles until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",3,7,22.6584158
Preacher Curl: arms high,Lever (selectorized),Auxiliary,Isolated,Pull,Sit on curl machine. Grasp lever handles with underhand grip. Align elbows at same pivot point as fulcrum of lever while placing back of arms up on pads.,Pull lever handles toward shoulders. Return handles until arms are fully extended. Repeat.,"Brachialis,","Wrist Flexors, ",Upper Arms,3,"Brachialis, Brachioradialis",4,11,23.27011763
Arm Curl,Suspended,Auxiliary,Isolated,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body is reclined back. Position palms up or slightly inward.","Keeping body straight, bring handles toward top of shoulders by flexing arms, while keeping elbows pointed forward. Return by straightening arms and repeat.","Brachialis,","Erector Spinae, Gluteus Maximus, Hamstrings, Wrist Flexors, Trapezius, Middle, Rhomboids, ",Upper Arms,2,"Brachialis, Brachioradialis",3,9,22.35610036
Reverse Curl,Barbell,Auxiliary,Isolated,Pull,Grasp bar with shoulder width overhand grip.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Extensors, ",Forearm,2,"Brachioradialis, Brachialis",5,9,23.45553032
Hammer Curl,Cable,Auxiliary,Isolated,Pull,Grasp cable rope with palms facing inward. Stand upright with arms straight down to sides.,"With elbows to side, raise rope forward and upward with both arms until forearms are vertical. Lower until arms are fully extended. Repeat.","Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Flexor Carpi Radialis, Extensor Carpi Radialis, ",Forearm,2,"Brachioradialis, Brachialis",5,8,22.44285991
Reverse Curl,Cable,Auxiliary,Isolated,Pull,Grasp cable bar with shoulder width overhand grip.,"With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.","Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Wrist Extensors, ",Forearm,2,"Brachioradialis, Brachialis",5,8,23.96265915
Hammer Curl,Dumbbell,Auxiliary,Isolated,Pull,"Position two dumbbells to sides, palms facing in, arms straight.","With elbows to sides, raise one dumbbell until forearm is vertical and thumb faces shoulder. Lower to original position and repeat with alternative arm.","Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Flexor Carpi Radialis, Extensor Carpi Radialis, ",Forearm,2,"Brachioradialis, Brachialis",3,7,23.40849036
Reverse Curl​​​​​​​,Lever (selectorized),Auxiliary,Isolated,Pull,Sit on seat and grasp handles with overhand grip. Position elbows to sides so they are in line with lever's fulcrum.,Raise lever handles until elbows are fully flexed with back of upper arm remaining on pad. Lower handles until arm is fully extended. Repeat.,"Brachioradialis,","Deltoid, Anterior, Coracobrachialis, Wrist Flexors, ",Forearm,2,"Brachioradialis, Brachialis",5,10,22.45062666
Wrist Curl,Barbell,Basic or Auxiliary,Isolated,Pull,Sit and grasp bar with narrow to shoulder width underhand grip. Rest forearms on thighs with wrists just beyond knees.,Allow barbell to roll out of palms down to fingers. Raise barbell back up by gripping and pointing knuckles up as high as possible. Lower and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,4,9,23.44728272
Wrist Curl,Cable,Basic or Auxiliary,Isolated,Pull,Sit and grasp cable bar with narrow to shoulder width underhand grip. Rest forearms on thighs with wrists just beyond knees.,Allow cable bar to roll out of palms down to fingers. Raise cable bar back up by gripping and pointing knuckles up as high as possible. Lower and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,3,11,22.45076269
Wrist Curl,Dumbbell,Basic or Auxiliary,Isolated,Pull,Sit and grasp dumbbell with underhand grip. Rest forearm on thigh with wrist just beyond knee.,Allow dumbbell to roll out of palm down to fingers. Raise dumbbell back up by gripping and pointing knuckles up as high as possible. Lower and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,3,11,23.92829389
Grip,Lever (plate loaded),Basic or Auxiliary,Isolated,Pull,"Sit on seat, straddling apparatus. Grasp lever handles on each side; fingers around lever handles and base of thumbs around stationary bars.",Squeeze bars together with both hands until lower lever makes contact with upper bars. Lower to original position and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,3,6,23.55417303
Wrist Curl,Lever (plate loaded),Basic or Auxiliary,Isolated,Pull,Grasp bar with underhand grip. Place forearm on padded platform.,Raise bar up until wrist is fully flexed. Lower and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,4,7,23.4989295
Grip,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Sit on seat. Grasp lever handles on each side; fingers around lever handles and base of thumbs around stationary bars.,Squeeze bars together with both hands until lever makes contact with stationary bars. Lower to original position and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,4,11,23.2635342
Wrist Curl,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Grasp bar with underhand grip to each side. Place forearms on arm pads.,Raise handles up until wrist is fully flexed. Lower handles until wrists are full hyperextended. Repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,1,Brachioradialis,5,11,23.46005449
One Hand Grip,Sled (selectorized),Basic or Auxiliary,Isolated,Pull,Grasp bar with underhand grip to each side. Place forearms on arm pads.,Raise handles up until wrist is fully flexed. Lower handles until wrists are full hyperextended. Repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,2,Brachioradialis,4,7,23.9023527
One Hand​​​​​​​,Sled (plate loaded),Basic or Auxiliary,Isolated,Pull,Bend over and grasp bar grips with one hand; fingers under lower bar and base of thumb over top stationary bar.,Squeeze bar grips together until lower bar makes contact with upper bar. Release to original position and repeat.,"Wrist Flexors,","No significant stabilizers, ",Forearm,2,Brachioradialis,5,11,22.46617753
Reverse Wrist Curl,Barbell,Basic or Auxiliary,Isolated,Pull,Sit and grasp bar with narrow to shoulder width overhand grip. Rest forearms on thighs with wrists just beyond knees.,Raise barbell by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat.,"Wrist Extensors,","No significant stabilizers, ",Forearm,1,Brachioradialis,4,11,23.50976239
Reverse Wrist Curl,Cable,Basic or Auxiliary,Isolated,Pull,Sit and grasp cable bar with narrow to shoulder width overhand grip. Rest forearms on thighs with wrists just beyond knees.,Raise stirrup by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat.,"Wrist Extensors,","No significant stabilizers, ",Forearm,1,Brachioradialis,3,8,23.48784019
Reverse Wrist Curl,Dumbbell,Basic or Auxiliary,Isolated,Pull,Sit and grip dumbbell with overhand grip. Rest forearm on thigh with wrist just beyond knee.,Raise dummbell by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat.,"Wrist Extensors,","No significant stabilizers, ",Forearm,1,Brachioradialis,4,10,22.52122347
Reverse Wrist Curl,Lever (plate loaded),Basic or Auxiliary,Isolated,Pull,Grasp bar with overhand grip. Place forearm on padded platform.,Raise bar until wrist is fully hyperextended and return until wrist is fully flexed. Repeat.,"Wrist Extensors,","No significant stabilizers, ",Forearm,1,Brachioradialis,5,8,22.03844012
Reverse Wrist Curl,Lever (selectorized),Basic or Auxiliary,Isolated,Pull,Grasp handles with overhand grip to each side. Place forearms on arm pads.,Raise handles until wrist is fully hyperextended. Lower handles until wrists are fully flexed. Repeat.,"Wrist Extensors,","No significant stabilizers, ",Forearm,1,Brachioradialis,4,9,23.66517715
Seated Pronation ,Dumbbell,Auxiliary,Isolated,Push,"Sit next to elevated surface, approximately arm pit height. With hand of upper arm, grasp unilaterally loaded dumbbell; pinkie positioned near weighted side. Bend elbow approximately 90-degrees and place upperarm on elevated surface. Position thumb upward (supinated).",Rotate dumbbell so thumb turns downward (pronation). Return and repeat.,"Pronators,","No significant stabilizers, ",Forearm,1,Brachioradialis,3,10,22.34423807
Seated Pronation ,Lever (selectorized),Auxiliary,Isolated,Push,Sit on seat. Grasp rotating handles with underhand grip on each side and place forearms on pads.,Rotate shafts by turning palm downward. Return and repeat.,"Pronators,","No significant stabilizers, ",Forearm,1,Brachioradialis,3,6,22.53619368
Seated Supination,Dumbbell,Auxiliary,Isolated,Pull,"Sit next to elevated surface, approximately arm pit height. With hand of arm next to elevated surface, grasp unilaterally loaded dumbbell; thumb next to side with weight. Bend elbow approximately 90-degrees and place upperarm on elevated surface. Position thumb downward (pronated).",Rotate dumbbell so thumb turns upward (supination). Return and repeat.,"Supinator,",,Forearm,1,Biceps Brachii,3,8,22.23186084
Seated Supination,Lever (selectorized),Auxiliary,Isolated,Pull,Sit on seat. Grasp rotating handles with overhand grip on each side and place forearms on pads.,Rotate shafts by turning palm upward. Return and repeat.,"Supinator,",,Forearm,1,Biceps Brachii,3,8,23.44316459
Bent-over Row,Barbell,Basic,Compound,Pull,Bend knees slightly and bend over bar with back straight. Grasp bar with wide overhand grip.,Pull bar to upper waist. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",3,9,22.77021897
Bent-over Row:  Underhand,Barbell,Basic or Auxiliary,Compound,Pull,Bend knees slightly and bend over bar with back straight. Grasp bar with underhand grip.,Pull bar to waist. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, Quadriceps, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",4,11,23.11806141
One Arm Bent-over Row,Cable,Auxiliary,Compound,Pull,"Grasp cable stirrup. Step back away from pulley, with foot on same side as exercising arm, positioned out to side well behind forward foot. Bend over with hand on nearby bar or above knee for support. Keep back straight and knees slightly bent. Allow shoulder with stirrup to be pulled forward.","Pull cable attachment to side of torso, pulling shoulder back. Return until arm is extended and shoulder is stretched forward. Repeat. Continue with opposite arm.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Obliques, Hamstrings, Gluteus Maximus, Triceps (Supporting Arm), ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",4,11,23.69342841
One Arm Straight Back Seated High Row,Cable,Basic or Auxiliary,Compound,Pull,Sit on seat or bench. Bend forward and grasp cable stirrup with one hand. Position torso upright allowing shoulder to be pulled forward under weight on cable.,"Pull cable attachment to side of torso while pulling shoulder back, arching spine, and pushing chest forward. Return until arm is extended and shoulder is pulled forward. Repeat. Continue with opposite arm.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Erector Spinae, Obliques, Quadratus Lumborum, ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",4,11,23.27291987
Seated Row,Cable,Basic,Compound,Pull,Sit slightly forward on seat or bench in order to   grasp cable attachment. Place feet on vertical platform. Slide hips back positioning knees with slight bend.,"Pull cable attachment to waist while straightening lower back. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Hamstrings, Gluteus Maximus, Adductor Magnus, ",Back,2,"Biceps Brachii, Trapezius, Rhomboids",3,10,22.07580308
Seated Row:  Straight Back,Cable,Basic,Compound,Pull,Sit slightly forward on bench with feet on foot bar or vertical platform. Grasp close grip cable attachment. Straighten torso   upright and slide hips back so knees are slightly bent.,"Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, ",Back,2,"Biceps Brachii, Trapezius, Rhomboids",5,7,23.85798926
Seated Wide Grip Row,Cable,Basic or Auxiliary,Compound,Pull,"Sit slightly forward on platform in order to grasp cable attachment. With awider than shoulder width grip, slide hips back positioning knees with slight bend.","Pull cable attachment to waist while pulling torso upright.   Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Hamstrings, Gluteus Maximus, Adductor Magnus, ",Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",5,7,22.21773394
Seated Wide Grip Row:  Straight Back,Cable,Basic or Auxiliary,Compound,Pull,"Sit slightly forward on bench or platform in order to grasp cable bar attachment. With wider than shoulder width overhand grip, straighten torso upright and slide hips back until knees are only   slightly bent.","Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.","Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Erector Spinae, Hamstrings, Gluteus Maximus, Adductor Magnus, ",Back,2,"Latissimus Dorsi, Trapezius, Rhomboids",3,8,23.20527963
Bent-over Row,Dumbbell,Basic,Compound,Pull,Kneel over side of bench by placing knee and hand of supporting arm on bench. Position foot of opposite leg slightly back to side. Grasp dumbbell from floor.,Pull dumbbell to up to side until it makes contact with ribs or until upper arm is just beyond horizontal. Return until arm is extended and shoulder is stretched downward. Repeat and continue with opposite arm.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,","Triceps (supporting arm), ",Back,3,"Biceps Brachii, Trapezius, Rhomboids",4,8,22.31358624
Lying Row,Dumbbell,Basic,Compound,Pull,Lie chest down on elevated bench. Grasp dumbbells below.,Pull dumbbells to sides until upper arm is just beyond horizontal or height of back. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,",,Back,2,"Biceps Brachii, Trapezius, Rhomboids",5,9,23.08594536
Incline Row,Lever (plate loaded),Basic,Compound,Pull,Lie chest on inclined platform and grasp lever handles with overhand grip.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,",,Back,3,"Biceps Brachii, Trapezius, Rhomboids",4,11,22.44257973
Incline Row:  Close Grip,Lever (plate loaded),Basic,Compound,Pull,Lie chest on inclined platform and grasp lever close grip handles.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,",,Back,3,"Biceps Brachii, Brachialis, Trapezius",4,11,22.17984679
Seated Rows,Lever (plate loaded),Basic,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,"Latissimus Dorsi, Lower Trapezius, Rhomboids, Middle Trapezius,",,Back,2,"Biceps Brachii, Trapezius, Rhomboids",4,8,23.51003482
